,,,,,,,0
0.01,0,6,5,0.5,200,0.7,"[0.6448917584504368, 0.6508344030808729, 0.6683804627249358]"
0.01,0,6,5,0.5,200,1.0,"[0.6502088872009115, 0.6546854942233633, 0.6760925449871465]"
0.01,0,6,5,0.5,400,0.7,"[0.6445119635396885, 0.658964484381686, 0.6683804627249358]"
0.01,0,6,5,0.5,400,1.0,"[0.6452715533611849, 0.6576807873341891, 0.6735218508997429]"
0.01,0,6,5,1.0,100,0.7,"[0.6372958602354728, 0.6508344030808729, 0.6529562982005142]"
0.01,0,6,5,1.0,100,1.0,"[0.6407140144322067, 0.6504065040650406, 0.6580976863753213]"
0.01,0,6,5,1.0,200,0.7,"[0.6479301177364223, 0.6504065040650406, 0.6555269922879178]"
0.01,0,6,5,1.0,200,1.0,"[0.6517280668439043, 0.6495507060333762, 0.6658097686375322]"
0.01,0,6,5,1.0,400,0.7,"[0.6437523737181922, 0.6512623020967052, 0.6529562982005142]"
0.01,0,6,5,1.0,400,1.0,"[0.6448917584504368, 0.6482670089858793, 0.6683804627249358]"
0.01,0,6,20,0.5,100,0.7,"[0.6448917584504368, 0.6499786050492083, 0.6529562982005142]"
0.01,0,6,20,0.5,100,1.0,"[0.6456513482719332, 0.6559691912708601, 0.6632390745501285]"
0.01,0,6,20,0.5,200,0.7,"[0.6452715533611849, 0.6512623020967052, 0.6786632390745502]"
0.01,0,6,20,0.5,200,1.0,"[0.6467907330041778, 0.6529738981600343, 0.6658097686375322]"
0.01,0,6,20,0.5,400,0.7,"[0.6426129889859475, 0.6559691912708601, 0.6658097686375322]"
0.01,0,6,20,0.5,400,1.0,"[0.6437523737181922, 0.6559691912708601, 0.6709511568123393]"
0.01,0,6,20,1.0,100,0.7,"[0.6437523737181922, 0.6491228070175439, 0.6632390745501285]"
0.01,0,6,20,1.0,100,1.0,"[0.6467907330041778, 0.6491228070175439, 0.6580976863753213]"
0.01,0,6,20,1.0,200,0.7,"[0.6448917584504368, 0.6491228070175439, 0.6580976863753213]"
0.01,0,6,20,1.0,200,1.0,"[0.6502088872009115, 0.654257595207531, 0.6529562982005142]"
0.01,0,6,20,1.0,400,0.7,"[0.641473604253703, 0.6452717158750535, 0.6683804627249358]"
0.01,0,6,20,1.0,400,1.0,"[0.641473604253703, 0.6534017971758665, 0.6683804627249358]"
0.01,0,10,0,0.5,100,0.7,"[0.6365362704139764, 0.6448438168592212, 0.6503856041131105]"
0.01,0,10,0,0.5,100,1.0,"[0.6475503228256742, 0.6478391099700471, 0.6683804627249358]"
0.01,0,10,0,0.5,200,0.7,"[0.6456513482719332, 0.6465554129225503, 0.6658097686375322]"
0.01,0,10,0,0.5,200,1.0,"[0.6429927838966958, 0.6499786050492083, 0.6915167095115681]"
0.01,0,10,0,0.5,400,0.7,"[0.6353968856817319, 0.6499786050492083, 0.6658097686375322]"
0.01,0,10,0,0.5,400,1.0,"[0.6437523737181922, 0.6504065040650406, 0.6632390745501285]"
0.01,0,10,0,1.0,100,0.7,"[0.6391948347892138, 0.6486949080017116, 0.6426735218508998]"
0.01,0,10,0,1.0,100,1.0,"[0.6262818078237752, 0.646127513906718, 0.6503856041131105]"
